Ian_ICO_Grade,Largest_Bonus,ICO_Price,Number_of_ICO_Tokens,Total_Supply_Ratio,ICO_Market_Cap,Prototype,Team,Advisors,Idea,Community,Security,Type,Audience,Log_Max_CMC_x
0.83,,0.11,400230000,0.5,113285100,Yes,4,2,3,5388,No,Blockchain,Networks,4.74414130191
0.64,,0.0001,1000000000000,0.1,125000000,Yes,3,2,1,1144,No,Currency,Messaging,2.70337261155
0.73,,1.32,10055817,0.51,11153126,Yes,3,2,1,1890,No,App,Real Estate,0.654532344432
0.9,,0.2,100600000,0.12,20120000,Yes,3,2,3,1176,No,Blockchain,Blockchain,2.75366071235
0.79,,0.02,1050000000,0.7,15000000,Yes,4,3,2,2516,No,App,Unbanked,1.51680713981
0.82,,0.0838,350000000,0.35,34146854,Yes,3,3,3,4158,No,Infrastructure,Power,3.17745699357
0.72,,0.42,200000000,0.5,19000000,Yes,3,3,1,5635,Yes,App,Tokens,1.56064774826
0.78,,0.0358,151692739,0.4,15000000,Yes,3,3,2,4488,No,App,Investing,3.11668594472
0.75,,0.66,30000000,0.3,37538151,Yes,4,2,1,1000,,App,,1.3633048429
0.71,,0.3,150000000,0.3,72139952,Yes,2,2,2,3895,No,Infrastructure,Exchange,1.93634069804
0.76,,0.0615,650000000,0.65,31665613,Yes,2,2,2,1863,No,Infrastructure,IoT,1.80678691091
0.61,,0.0672,500000000,0.5,75523400,Yes,2,1,2,21393,No,App,,2.86559646993
0.73,,0.0516,500000000,0.5,32368574,Yes,3,3,2,2925,No,App,Exchange,4.00803765867
0.63,,0.253,200000000,0.2,84781652,Yes,2,3,1,16800,No,App,Esports,2.27858394089
0.76,,0.0207,2000000000,0.35,40000000,Yes,4,5,2,2291,No,Infrastructure,,2.80574079828
0.76,,0.3,116780180,0.4,88196362,Yes,4,3,2,2654,No,Infrastructure,Food,1.81915844342
0.68,,0.1,800000000,0.8,62415559,Yes,3,2,1,2631,No,App,Smart Contracts,1.51599059642
0.43,,0.11,300000000,0.25,17993450,No,2,2,1,456,No,Infrastructure,Cars,2.35569491831
0.82,,0.0874,600000000,0.6,2000000,Yes,3,4,2,1200,No,App,Voting,4.19511791387
0.84,,0.67,50000000,0.5,82720780,Yes,3,2,3,1557,No,Infrastructure,Developers,2.57976444325
0.87,0.3,0.0663,238421940,0.55,15000000,Yes,3,2,3,2000,No,Blockchain,Blockchain,4.37559574434
0.74,,1.0,50730623,0.55,92237497,Yes,3,2,1,3801,No,Infrastructure,Funding,1.50629715351
0.86,1.0,0.072,650000000,0.65,65705358,Yes,3,2,3,15156,No,Infrastructure,Developers,2.4877048146
0.59,,0.24,500000000,0.5,377617000,Yes,3,2,2,598,No,App,Exchange,2.33939906612
0.82,0.0,0.043,600000000,0.6,10306919,Yes,4,2,2,1977,No,Infrastructure,Messaging,3.45403986304
0.81,0.35,0.0934,200000000,0.22,8693989,Yes,4,2,2,2918,No,App,Content Creators,2.35573405215
0.74,,1.15,90000000,0.3,66344983,Yes,3,2,2,1884,No,App,Energy,1.03272019486
0.86,0.15,0.0038,5250000000,0.25,20000000,Yes,3,2,3,2256,No,Blockchain,Developers,3.73740015842
0.83,0.0,0.24,51830000,0.52,12957500,Yes,3,3,2,6764,No,App,Food,3.19526595923
0.89,,1.0,185000000,0.4,23010994,Yes,3,2,3,5125,No,Blockchain,,2.44321622273
0.4,0.65,0.16,64750000,0.35,326009343,No,2,2,2,31408,No,App,Gamers,3.44401737885
0.82,0.5,0.0889,240000000,0.3,34888035,Yes,3,2,3,5315,No,Infrastructure,Developers,2.80550553725
0.63,,0.61,108750000,0.73,162637025,Yes,2,2,1,2470,No,App,Real Estate,1.48754809483
0.54,,0.1,275000000,0.28,9000000,Yes,0,2,1,2223,No,App,Messaging,-0.4132755302
0.63,,0.15,300000000,0.3,17200000,Yes,3,0,1,4681,No,App,Trading,1.03863107093
0.52,,0.0173,1000000000,0.77,30209360,Yes,1,0,1,5538,No,App,Lending,3.24199381619
0.78,,0.15,315000000,0.45,20392828,Yes,3,2,2,2851,No,App,Storage,2.13613688536
0.75,1.0,0.1,1000000000,0.5,25547000,Yes,3,2,1,8321,No,Infrastructure,Ecommerce,-0.923340523362
0.62,,0.0524,1000000000,0.1,107890571,Yes,3,0,2,791,No,Infrastructure,Market Place,2.43968834321
0.76,1.0,0.0113,3375749921,0.65,50000000,Yes,3,4,2,4101,No,App,Tasks,3.07236549957
0.63,1.5,0.5,62500000,0.5,1380644,No,3,2,3,1462,No,App,Musicians,2.11866225483
0.52,,0.1,300000000,0.3,52690744,No,3,2,2,7943,No,App,Influencers,2.2945529213
0.74,,0.0158,1500000000,0.15,67420977,Yes,3,2,2,3350,No,Infrastructure,Developers,3.69989451434
0.87,0.2,0.78,105500000,0.66,32000000,Yes,3,2,2,6126,No,App,Cryptocurrency,1.45323384379
0.9,0.15,2.0,40000000,0.4,60000000,Yes,3,2,3,1790,No,Blockchain,Developers,2.09740424205
0.76,0.3,0.21,320000000,0.8,75523400,Yes,3,2,2,11137,No,App,Influencers,1.10019833182
0.78,0.3,0.1,400000000,0.4,40097770,Yes,3,2,2,7028,No,Infrastructure,Telecom,2.54160199346
0.56,,1.0,220000000,0.55,220000000,Yes,3,2,1,4504,No,App,Exchange,1.44456326924
0.63,0.2,0.0165,91000000,0.18,1750000,Yes,1,1,2,1918,No,App,Bounty,4.02967135188
0.73,,0.1,275000000,0.55,17000000,Yes,3,1,2,3273,No,Currency,Retail,1.14422279992
0.79,0.5,0.0013,25000000000,0.25,25000000,Yes,3,2,2,5590,No,Currency,Remittance,2.19636951102
0.53,0.2,0.12,300000000,0.4,20000000,No,3,2,2,3284,No,Infrastructure,Streaming,0.945849534116
0.66,,0.0719,336600000,0.51,22657020,Yes,1,2,2,11165,No,App,Students,2.07909377607
0.67,0.35,0.1,500000000,0.5,36000000,Yes,2,2,2,1628,No,,AI,2.91777073208
0.78,,0.0013,60000000,0.75,5700000,Yes,2,2,2,2861,No,App,,5.93814490958
0.79,0.4,0.0607,320000000,0.64,12000000,Yes,3,2,2,1267,No,App,Finance,0.184515743083
0.72,,0.25,140000000,0.7,35000000,Yes,2,2,1,1654,No,App,Banking,0.890357349848
0.69,0.5,0.015,1980000000,0.33,21780000,Yes,1,2,3,10019,No,App,Identity,1.79175946923
0.64,,0.36,130000000,0.13,46800000,No,3,2,3,5871,No,Blockchain,Developers,1.32913594728
0.64,,1.16,75000000,0.5,50000000,No,3,2,3,6236,No,Infrastructure,Credit,0.63548153871
0.69,,3.86,12000000,0.6,60161440,Yes,1,2,2,1395,No,Infrastructure,,2.8322985704
0.78,0.25,0.06,330000000,0.33,20000000,Yes,2,2,3,5262,No,Infrastructure,,1.92181259748
0.84,0.3,0.12,165000000,0.33,19500000,Yes,3,2,2,23177,No,Infrastructure,Developers,1.25654627893
0.76,,0.08,400000000,0.4,32000000,Yes,3,0,2,10992,No,Blockchain,Traders,0.983949380348
0.78,0.3,2.13,116608275000,0.67,35000000,Yes,2,2,3,10648,No,App,Mainstream,0.787176130208
